sentence	sentence_id	locale	reason
Hwn yw’r bobl eraill o flwyddyn saith fyddai yn yr ysgol Gymraeg.	3b8160bca49f697809c1fee3d70f39fe7c6a256afa8749bdd28511e33e5da1c5	cy	grammar-or-spelling
Hwn yw’r bobl eraill o flwyddyn saith fyddai yn yr ysgol Gymraeg.	3b8160bca49f697809c1fee3d70f39fe7c6a256afa8749bdd28511e33e5da1c5	cy	grammar-or-spelling
Beth yw'r ffigwr mwyaf mae'n posib benthyg tuag at y gost hon?	e9617f0bf9f4fe0b0251eb89ae712533be3baf1693c1147c51434dbe1ed71694	cy	grammar-or-spelling
Dani angan rhagor pobl o dwyn ein syniad ni.	07aef8027b6f686cf42c4a0dee6345bbc45d223e324300f5942f056cb7c8183a	cy	Ddim yn gwneud synnwyr
Yn y dofodol fuasai hoffi helpu pobol	6d35bc82607ed109810bbe5ece79da3195cb2348248c19640c2b53ab7c055a86	cy	grammar-or-spelling
Ma'n wastad os cynnig yn dod	d5c39f505d3753a668326d478b25f6ceb6ff04b0a58770eecbc1b5837b4b3a2e	cy	Ddim yn gwneud synnwyr
Fe wwna i ei ffonio hi yn ôl fory.	4f0a71175da7a201defd436805fd0c688ef9b08939fbf714cfad913d58dd08a2	cy	grammar-or-spelling
Yn y dofodol fuasai hoffi helpu pobol	6d35bc82607ed109810bbe5ece79da3195cb2348248c19640c2b53ab7c055a86	cy	grammar-or-spelling
Deallir y bydd y grant yn cael ei leihau bob blwyddyn.	195ad6543303d29ef6d424be26541d28e94136460570880275aeeb505668e347	cy	grammar-or-spelling
Ble mae yr toiledau?	d3163be7e2529f69c9bc200cb57d3f2f291cce1405bd40feee9f095465ce47f1	cy	grammar-or-spelling
Ble mae yr toiledau?	d3163be7e2529f69c9bc200cb57d3f2f291cce1405bd40feee9f095465ce47f1	cy	grammar-or-spelling
Beth yw'r enw a rhoddir i fwydydd fel bara, grawnfwydydd a thatws?	e8b8a0acbb63022665ca552357de793e229f239979ee67d372eea6f918023e62	cy	grammar-or-spelling
