path	sentence	translation	client_id
common_voice_id_19090410.mp3	"""Cepatlah berangkat!"" ia berujar padaku."	Hurry and go! he said to me.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19090411.mp3	Barang Pak Kimura kecil dan ringan.	Mr. Kimura's things are small and light.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19090412.mp3	Di belakang rumah ada mobil.	Behind the house, there is a car.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19090413.mp3	Tolong tanyain dong sama dia!	Please ask him!	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19090414.mp3	Apa yang dokter katakan?	What did the doctor say?	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270598.mp3	Dia sedang tidur denga dua bantal.	He is sleeping with two pillows.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270599.mp3	Makan malam setiap hari saya masak sendiri.	Having dinner every day from my own cooking.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270601.mp3	Sepertinya ayahnya sedang masuk rumah sakit.	It seems like his father is in the hospital.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270602.mp3	Mimpiku semalam aneh.	I had a strange dream last night.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270603.mp3	Bunga ini ditemukan di bagian lain Hokkaido.	This flower is found in another part of Hokkaido.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270604.mp3	Bagaimana kalau kita tunda besok saja..?	How about we delay it tomorrow...?	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270605.mp3	Orang tua saya tidak di rumah sekarang.	My parents are not at home now.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270606.mp3	Masalahnya adalah kita tidak punya cukup uang.	The problem is we don't have enough money.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270607.mp3	Biarkan saya mengucapkan selamat tinggal kepada Tom.	Let me say goodbye to Tom.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270608.mp3	Bayi itu belum bisa berjalan.	The baby can't walk yet.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270609.mp3	Seseorang mengetuk pintu.	Someone knocked on the door.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270610.mp3	Saya mendengar cerita menarik dari Pak Hayashi.	I heard an interesting story from Mr. Hayashi.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270611.mp3	Saya makan hot dog untuk makan siang.	I eat hot dogs for lunch.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270612.mp3	Mary tidak punya teman bicara, tapi dia tidak merasa kesepian.	Mary doesn't have a friend to talk to, but she doesn't feel lonely.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270614.mp3	Saya cuma perlu kamu.	I just need you.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270615.mp3	Ngomong-ngomong,berapa umurmu?	By the way, how old are you?	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270616.mp3	Seharusnya kamu menelpon.	You should have called.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270618.mp3	Itu Tom. Apa yang dia lakukan di luar sana?	That's Tom What is he doing out there?	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270619.mp3	Sejumlah mahasiswa melakukan aksi damai.	A number of students carried out peaceful actions.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270620.mp3	Sekarang ini saya sedang makan malam.	Right now I'm having dinner.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270621.mp3	Saya gemar berenang dan bermain bola basket.	I love to swim and play basketball.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270622.mp3	Pak Lee sekarang ada di perpustakaan.	Mr. Lee is now in the library.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270623.mp3	Aku tidak akan melakukannya lagi.	I will never do it again.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270624.mp3	Mau pergi ke mana?	Where do you want to go?	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270625.mp3	Pak Tanaka membeli lima buah keik.	Mr. Tanaka bought five cakes.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270626.mp3	Saya lapar karena saya tidak sarapan.	I'm hungry because I don't have breakfast.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270627.mp3	Apa yang terjadi bukanlah kesalahan Tom.	What happened was not Tom's fault.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270628.mp3	Mereka mengatakan bahwa dia adalah musisi ketika masih muda.	They say that he was a musician when he was young.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270629.mp3	Saya dari Singapura.	I am from Singapore.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270630.mp3	Apakah anda tidak berfikir ini beresiko?	Don't you think this is risky?	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270631.mp3	Apa kata tetangga?	What did the neighbors say?	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270632.mp3	Berapa harganya?	How much it costs?	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270633.mp3	Saya menyalakan komputer.	I turned on the computer.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270634.mp3	Saya menangis ketika menonton film.	I cry when watching a movie.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270635.mp3	Dia baru berumur dua tahun, tapi dia mampu berhitung sampai seratus.	He was only two years old, but he was able to count to one hundred.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270636.mp3	Apakah kamu tidak tahu kalau tidak sopan untuk menanyakan usia kepada perempuan?	Don't you know that it's not polite to ask women about their age?	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19270637.mp3	Fotografi merupakan hobi yang mahal.	Photography is an expensive hobby.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19276268.mp3	Masalah ini bermula dari kesalahpahaman.	This problem stems from a misunderstanding.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19276270.mp3	Kau akan menjadi lebih kuat bila kamu latihan.	You will become stronger if you practice.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
common_voice_id_19276272.mp3	Dia mengumpulkan banyak perangko.	He collected a lot of stamps.	e4a9f157112dd7dbdf0b16ff07a6c067d193440280dd634caced1b972c5ad3600e18eed6bea56a4852218c0039067b7b246063d23cd891637fd7e5d7992b3193
