path	translation	split
common_voice_id_19424182.mp3	That was interesting, wasn’t it?	test
common_voice_id_19982391.mp3	To love life is to love God.	test
common_voice_id_19376535.mp3	This is what Mary is doing to live.	test
common_voice_id_19376536.mp3	Don’t ask me.	test
common_voice_id_19376538.mp3	When I go there next week, I will buy drinks and bring them back.	test
common_voice_id_19376539.mp3	The government minister refused to give an interview to journalists.	test
common_voice_id_19967472.mp3	A dead dog can’t bite.	test
common_voice_id_19967492.mp3	Do you believe in this?	test
common_voice_id_19967509.mp3	All dictionaries contain errors.	test
common_voice_id_19967591.mp3	Why do I have to wait?	test
common_voice_id_19959608.mp3	I’m learning Japanese every day, but I can’t memorize the Kanji script.	test
common_voice_id_19959609.mp3	In Japan, we drive on the left.	test
common_voice_id_19959797.mp3	You should know your place.	test
common_voice_id_19959852.mp3	The class next door can accommodate a hundred people.	test
common_voice_id_19611907.mp3	Tomorrow, I’ll telephone Mr Lee.	test
common_voice_id_19611908.mp3	God and the devil, that is awesome.	test
common_voice_id_19611909.mp3	I’m not gay, but my lover is gay.	test
common_voice_id_19611910.mp3	I’m going to bed early tonight, because I’ve got a headache.	test
common_voice_id_19773606.mp3	Look out! There’s a truck coming!	test
common_voice_id_19773607.mp3	The final judgement draws near.	test
common_voice_id_19773609.mp3	I think that’s a good idea.	test
common_voice_id_19773611.mp3	He told himself, “I can definitely do this.”	test
common_voice_id_19597202.mp3	Tom has been bitten by a snake.	test
common_voice_id_19597203.mp3	He is almost forty years old.	test
common_voice_id_19597204.mp3	However, what will you end up doing?	test
common_voice_id_19597205.mp3	Not all the books on the table are mine.	test
common_voice_id_19080908.mp3	I’m talking with my student.	test
common_voice_id_19080909.mp3	Not many vehicles are crossing.	test
common_voice_id_19080910.mp3	It’s never too late to learn.	test
common_voice_id_19080911.mp3	Return? Just a single.	test
common_voice_id_19080912.mp3	He wants to become a singer.	test
common_voice_id_19450098.mp3	He took a taxi to the museum.	test
common_voice_id_19450099.mp3	I’d rather die than to go.	test
common_voice_id_19450100.mp3	By the way, do you have time tonight?	test
common_voice_id_19450101.mp3	Tomorrow, I’m meeting a friend at the station and we’ll go to the concert together.	test
common_voice_id_19450102.mp3	Jane looks happy.	test
common_voice_id_19635470.mp3	Taking a plane is quick and practical.	test
common_voice_id_19635472.mp3	I want to hang out.	test
common_voice_id_19635476.mp3	In the classroom there are desks and chairs.	test
common_voice_id_19635479.mp3	I phoned home, but there was nobody there.	test
common_voice_id_19635481.mp3	Tom does not know much about Indonesia.	test
common_voice_id_19480747.mp3	I already had lunch in the canteen.	test
common_voice_id_19480748.mp3	I’ll come back at a later time.	test
common_voice_id_19480749.mp3	Please give me your credit card.	test
common_voice_id_19480750.mp3	Nature is cruel.	test
common_voice_id_19480752.mp3	Even the aircraft noise was audible.	test
common_voice_id_19462330.mp3	Our plan has failed.	test
common_voice_id_19462331.mp3	Tom will quite possibly never be famous.	test
common_voice_id_19462332.mp3	Some day in the future, I want to travel overseas.	test
common_voice_id_19462333.mp3	Mr Matsui lives in a quiet town.	test
common_voice_id_19462335.mp3	Mom and dad gave me a bicycle.	test
common_voice_id_19840761.mp3	I cannot stand with this.	test
common_voice_id_19840763.mp3	I buy a next year calendar at the grocery store.	test
common_voice_id_19840802.mp3	There is a cloth.	test
common_voice_id_19840804.mp3	In addition, visitors are less likely to go to the island of Belitung compared to Bali.	test
common_voice_id_19840806.mp3	From here, you go to the west a bit, the sea is there.	test
common_voice_id_19668011.mp3	Paris is the most beautiful city in the world.	test
common_voice_id_19668012.mp3	He has to come to your house after an hour.	test
common_voice_id_19668013.mp3	Mr. Kimura gave me a cake.	test
common_voice_id_19668014.mp3	There is cat under a chair.	test
common_voice_id_19668015.mp3	He who does not keep learning, then he doesn’t learn anything.	test
common_voice_id_19062442.mp3	Are you feeling guilty?	test
common_voice_id_19062443.mp3	There is a new computer in the class.	test
common_voice_id_19062444.mp3	He is writing a letter to his mother.	test
common_voice_id_19062445.mp3	Nothing can break the true friendship.	test
common_voice_id_19062446.mp3	French cuisines are eaten using knifes and forks.	test
common_voice_id_19424188.mp3	Honesty is not a guarantee of success.	test
common_voice_id_19424189.mp3	He invites Tom to go fishing.	test
common_voice_id_19424190.mp3	The one there might be Mr. Yamada.	test
common_voice_id_19424191.mp3	This morning, I watched a news program on television.	test
common_voice_id_19424192.mp3	He is so lucky.	test
common_voice_id_19698289.mp3	My new home is very easy to reach because it is near the station.	test
common_voice_id_19698290.mp3	I understand that it is not easy for you.	test
common_voice_id_19698291.mp3	The cabinet door is open	test
common_voice_id_19698292.mp3	Australia is smaller than South America.	test
common_voice_id_19698293.mp3	I have studied since last year.	test
common_voice_id_19675702.mp3	Tom said he didn’t want to study French.	test
common_voice_id_19675703.mp3	Abbot kills Mary.	test
common_voice_id_19675704.mp3	I can find his house easily.	test
common_voice_id_19675705.mp3	There was no radio at the time.	test
common_voice_id_19675707.mp3	Who is that man?	test
common_voice_id_19165773.mp3	I’ve reached my limit.	test
common_voice_id_19165774.mp3	After giving lectures, he had interviews with several students.	test
common_voice_id_19165775.mp3	There is a book on the table.	test
common_voice_id_19165776.mp3	Sometimes, he does something strange.	test
common_voice_id_19165777.mp3	I cannot leave.	test
common_voice_id_19803163.mp3	I want to take a rest all day, however, I should go to the school.	test
common_voice_id_19803165.mp3	You have wanted to go there, haven’t you?	test
common_voice_id_19803168.mp3	They go to Medan.	test
common_voice_id_19803170.mp3	Hold that rope.	test
common_voice_id_19803171.mp3	Water is the main source in the lives of Sukajati villagers	test
common_voice_id_19522983.mp3	It is ten minutes to five o’clock.	test
common_voice_id_19522984.mp3	We only have three hours.	test
common_voice_id_19522986.mp3	That seems fun, huh?	test
common_voice_id_19523002.mp3	I want to know what it is.	test
common_voice_id_19523003.mp3	Tom died of rabies after being bitten by a bat.	test
common_voice_id_19523004.mp3	I am feeling tired.	test
common_voice_id_19523005.mp3	She died as a happy woman.	test
common_voice_id_19523006.mp3	Mr. Kobayashi has a blue umbrella.	test
common_voice_id_19961888.mp3	Don't smoke, be tolerant of the others.	test
common_voice_id_19961893.mp3	Tom is pouring cold water on his head.	test
common_voice_id_19961896.mp3	My house is heading to the south.	test
common_voice_id_19961908.mp3	My hobby is collecting coins.	test
common_voice_id_19961912.mp3	Guide me on the right path.	test
common_voice_id_19961920.mp3	Are you serious?	test
common_voice_id_19961945.mp3	I do not believe you.	test
