path	sentence	translation	client_id
common_voice_ja_19779202.mp3	病気のため彼はその会合に出席できなかった。	Because of illness, he was unable to attend that meeting.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779203.mp3	彼女は門のところに車を停めた。	She parked the car at the gate.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779204.mp3	おまわりさんが駅までの道を教えてくれました。	The policeman told me the way to the station.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779205.mp3	父は家では何もしません。	My father does nothing at home.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779206.mp3	兵士たちは戦いの準備が出来ている。	The soldiers are ready for battle.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779207.mp3	来年わたしは新しい車を買おうと思います。	Next year, I think I’m going to buy a new car.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779208.mp3	塀の上には割れたガラスがありました。	The wall was topped with broken glass.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779209.mp3	紙を一枚ずつ取ってください。	Take one piece of paper at a time.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779210.mp3	振り込み用紙を書くとき、ボールペンを使います。	Use a ballpoint pen when filling out the transfer form.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779211.mp3	最近寝てるときにこむらがえりを起こします。	Recently, I get calf cramps when I sleep.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779212.mp3	娘はいつも、約束を守らない母親に苛立っていた。	The daughter was always frustrated at her mother, who didn’t keep her promises.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779213.mp3	病人はもう安心です。	The sick people are already doing all right.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779214.mp3	父は毎朝ジョギングをする。	My father goes for a jog every morning.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779215.mp3	瀕死の鳥たちを哀れに思った。	I felt sorry for the dying birds.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779216.mp3	彼女は用事がなければほとんど外出しない。	Unless she has something to do, she rarely goes out.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779217.mp3	パジャマとティーシャツがめくれて、薄い肋骨の下に、ぺちゃんこの腹が見えた。	The pajamas and T-shirt were rolled up to reveal a flat tummy underneath skinny ribs.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779218.mp3	父は私に妹の世話をする義務を負わせた。	My father obligated me to look after my younger sister.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779219.mp3	氷は非常に薄いので君の体重を支えきれないだろう。	The ice is so thin that it won’t be able to support your weight.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779220.mp3	午後は、溜った書類に目を通して返す。	In the afternoon, I look through the accumulated documents, and return them.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779221.mp3	父は私に時計を買ってくれたが、私はそれがあまり気に入らない。	My father bought a watch for me, but I don’t like it very much.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779232.mp3	文芸編集者としては、作家たちに、最も信頼されている、名編集者だ。	As a literary editor, they are famous as being the most trusted by authors.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779233.mp3	これだけで厄介払いできたら安いもので、みな大喜びした。	It was a cheap way to get rid of the trouble, which made everybody very happy.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
common_voice_ja_19779234.mp3	父は時には子供じみたことをいったり、します。	My father sometimes says and does childish things.	51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700
