path	sentence	translation	client_id
common_voice_cy_17784505.mp3	Mae'r cyswllt gwe wedi torri.	The internet connection has broken.	1993bf5cfc25f448fcb238c20e777e42b8e4e777b56d14b3b09fe4e1c72202cc6ef981212c7623aa7eb55ec8376c5403302e5cde4cb4c0b84195cf7e22be66e7
common_voice_cy_17784509.mp3	Problemau traffig o fath newydd yn yr Eisteddfod.	A new kind of traffic problems in the Eisteddfod.	1993bf5cfc25f448fcb238c20e777e42b8e4e777b56d14b3b09fe4e1c72202cc6ef981212c7623aa7eb55ec8376c5403302e5cde4cb4c0b84195cf7e22be66e7
common_voice_cy_17784518.mp3	Lecwydd, Rwsiaidd, uchafswm, ffiwsia, mhen, mêts, lleill, lleoedd	Lecwith, Russian, maximum, fuscia, (my) head, mates, others, places	1993bf5cfc25f448fcb238c20e777e42b8e4e777b56d14b3b09fe4e1c72202cc6ef981212c7623aa7eb55ec8376c5403302e5cde4cb4c0b84195cf7e22be66e7
common_voice_cy_17784521.mp3	Bydd y materion hyn yn effeithio ar hyd ei ddedfryd.	These matters will impact his judgment.	1993bf5cfc25f448fcb238c20e777e42b8e4e777b56d14b3b09fe4e1c72202cc6ef981212c7623aa7eb55ec8376c5403302e5cde4cb4c0b84195cf7e22be66e7
common_voice_cy_17784522.mp3	Dyma chi.	Here you are.	1993bf5cfc25f448fcb238c20e777e42b8e4e777b56d14b3b09fe4e1c72202cc6ef981212c7623aa7eb55ec8376c5403302e5cde4cb4c0b84195cf7e22be66e7
common_voice_cy_17784528.mp3	Gall hyn achosi tywydd garw a dinistriol o gwmpas y byd.	This can cause rough and damaging weather around the world.	1993bf5cfc25f448fcb238c20e777e42b8e4e777b56d14b3b09fe4e1c72202cc6ef981212c7623aa7eb55ec8376c5403302e5cde4cb4c0b84195cf7e22be66e7
common_voice_cy_17784531.mp3	Wyt ti'n gallu meddwl am enghraifft o dristwch yn y ffilm?	Can you think of an example of sadness in the film?	1993bf5cfc25f448fcb238c20e777e42b8e4e777b56d14b3b09fe4e1c72202cc6ef981212c7623aa7eb55ec8376c5403302e5cde4cb4c0b84195cf7e22be66e7
common_voice_cy_17684439.mp3	Morgan, eto, yma, ddefnyddio, bach, yn wir, diwedd, llenyddiaeth	Morgan, again, here uses, small, truly, end, literature	42cfeda7b02f42b00ce1b797a794dd74444405940fb01a54825bc63ad6bb8c242a049435089fe42e5bee20388ab7960edf4f35e38baa6f63de68cbb7c762f589
common_voice_cy_17684447.mp3	Dim ond un ewythr sydd gen i.	I only have one uncle.	42cfeda7b02f42b00ce1b797a794dd74444405940fb01a54825bc63ad6bb8c242a049435089fe42e5bee20388ab7960edf4f35e38baa6f63de68cbb7c762f589
common_voice_cy_18988823.mp3	Beth ydy dy rif ffôn poced?	What’s your mobile phone number?	5087085968135de728601c41df4b123ff3d05d2c11b8b7ded3f1ee868cc2fc83bfd9765e1b8e2e1486d4164293f446f2118ffc29258c479b4de3909a6fafc370
common_voice_cy_18988824.mp3	Beth yw'r gwahaniaeth rhwng y diwrnod poethaf ac oeraf?	What’s the difference between the hottest and coldest day?	5087085968135de728601c41df4b123ff3d05d2c11b8b7ded3f1ee868cc2fc83bfd9765e1b8e2e1486d4164293f446f2118ffc29258c479b4de3909a6fafc370
common_voice_cy_18815360.mp3	amgylchiadau, gweithwyr, fy mam, ac yn llogi, pethau, unrhyw, drws	circumstances, employees, my mother, and hire, things, any, door	57e2f401b60e0e08b68bdd80abc554cacbd040b988124f7107c23ff3a72f6e6a19c278b18d6fc44c56f5ba8d7e06644a02730bd1685287f53d9fc454ff077b60
common_voice_cy_18817096.mp3	Mae ganddo wyneb golygus.	He has a handsome face.	57e2f401b60e0e08b68bdd80abc554cacbd040b988124f7107c23ff3a72f6e6a19c278b18d6fc44c56f5ba8d7e06644a02730bd1685287f53d9fc454ff077b60
common_voice_cy_18817098.mp3	Ai bwrdd i bedwar neu i dri sydd angen?	Is it a table for four or three that’s needed?	57e2f401b60e0e08b68bdd80abc554cacbd040b988124f7107c23ff3a72f6e6a19c278b18d6fc44c56f5ba8d7e06644a02730bd1685287f53d9fc454ff077b60
common_voice_cy_17775895.mp3	Roedd y digwyddiad ar Ffordd y Gogledd rhwng bws a menyw oedd yn cerdded.	The incident on North Road was between a bus and a woman that was walking.	61aae9315c0d8bb70a5c92c6f2ce003b264ad70c08491748628d1f40ac2edab51b98390a557791301bf992081f0f7a343a77c534ed64a34442c4649049b08020
common_voice_cy_17775896.mp3	Wyt ti'n gallu danfon copi o'r papur ata i plîs?	Can you send me a copy of the paper please?	61aae9315c0d8bb70a5c92c6f2ce003b264ad70c08491748628d1f40ac2edab51b98390a557791301bf992081f0f7a343a77c534ed64a34442c4649049b08020
common_voice_cy_17775917.mp3	Dadleuodd Price fod ganddo hawl i amddiffyn ei eiddo.	Price argued that he has the right to protect his property.	61aae9315c0d8bb70a5c92c6f2ce003b264ad70c08491748628d1f40ac2edab51b98390a557791301bf992081f0f7a343a77c534ed64a34442c4649049b08020
common_voice_cy_17775918.mp3	Beth yw priodweddau bwydydd gwahanol a beth yw eu pwrpas?	What are the attributes of different foods and what are their purpose?	61aae9315c0d8bb70a5c92c6f2ce003b264ad70c08491748628d1f40ac2edab51b98390a557791301bf992081f0f7a343a77c534ed64a34442c4649049b08020
