path	translation	split
common_voice_cy_18357273.mp3	I ran away without telling her anything about what happened.	test
common_voice_cy_19132010.mp3	How much does a single room cost?	test
common_voice_cy_19033733.mp3	It is twenty to two.	test
common_voice_cy_19017578.mp3	I want a refund.	test
common_voice_cy_19019103.mp3	Mae hi a'r plant yn dod i ymweld â ni rhywbryd yn y mis nesaf.	test
common_voice_cy_19061848.mp3	The majority of the population didn’t have jobs.	test
common_voice_cy_19213053.mp3	It's purple.	test
common_voice_cy_19511137.mp3	The time has come.	test
common_voice_cy_18373874.mp3	It would be necessary to go down to the shop on the bus to arrive in time.	test
common_voice_cy_19058656.mp3	The statue will stand on a bridge looking out towards Pembroke Castle.	test
common_voice_cy_18295842.mp3	I’m sorry, I genuinely forgot to go in to the house at the bottom.	test
common_voice_cy_18665992.mp3	It doesn’t matter, the recording is temporary work.	test
common_voice_cy_19264875.mp3	She’s pregnant.	test
common_voice_cy_18381372.mp3	Have you been out to see the sky’s beautiful blue color?	test
common_voice_cy_19286059.mp3	It’s late, is there a lot of the list we didn’t finish last night left?	test
common_voice_cy_18933184.mp3	Where are the nearest public restrooms?	test
common_voice_cy_18570664.mp3	Yes, she happens to be here, so I have come back for the conversation.	test
common_voice_cy_18450753.mp3	You were on your way back on that day.	test
common_voice_cy_19094225.mp3	Do you think you could go away on vacation with us next month?	test
common_voice_cy_19064646.mp3	Hopefully the weather will be better tomorrow.	test
common_voice_cy_18128786.mp3	Beuno, trotskyism, pipe, gray stones, fault, peace, axe, rest	test
common_voice_cy_19007151.mp3	I’m learning mathematics.	test
common_voice_cy_19033763.mp3	The money is the irrelevant part of all this.	test
common_voice_cy_18157155.mp3	Do you need to sit down?	test
common_voice_cy_19096333.mp3	I’m thirsty.	test
common_voice_cy_19019421.mp3	The tragedy happened while the beach was full of people.	test
common_voice_cy_19078054.mp3	There are two bedrooms.	test
common_voice_cy_17811920.mp3	Yes, she happens to be here, so I have come back for the conversation.	test_covost
common_voice_cy_17299824.mp3	What’s the price of that watch?	test
common_voice_cy_19197029.mp3	So that’s what needs to be done so that she can continue to work.	test
common_voice_cy_19062308.mp3	Wallace and Gromit are on.	test
common_voice_cy_18398051.mp3	I don’t know whether they speak Welsh.	test
common_voice_cy_19028293.mp3	some, steroid, support, yellow, close, garage, death, among	test
common_voice_cy_19169946.mp3	What was happening, as he was being carried down the river?	test
common_voice_cy_19856953.mp3	I hope we will be able to live honestly, whatever comes.	test
common_voice_cy_19152873.mp3	Although the majority were in private home gardens.	test
common_voice_cy_18430917.mp3	I went over to the man and there are twenty books left for the girl to be able to have over the summer.	test
common_voice_cy_19877509.mp3	The church has been plastered all over.	test
common_voice_cy_19217965.mp3	How do animals look after their teeth?	test
common_voice_cy_18370436.mp3	It’s not fair to her or the people either.	test
common_voice_cy_18582891.mp3	It doesn’t matter, the recording is temporary work.	test_covost
common_voice_cy_18118079.mp3	The two are having fun together playing by the lake.	test
common_voice_cy_18266665.mp3	He didn’t take pictures before finishing his work.	test
common_voice_cy_18266668.mp3	What’s up?	test
common_voice_cy_18499268.mp3	What is your father’s name?	test
common_voice_cy_18499269.mp3	The floor is very cold.	test
common_voice_cy_18490808.mp3	Have you been out to see the sky’s beautiful blue color?	test_covost
common_voice_cy_18490809.mp3	You were on your way back on that day.	test_covost
common_voice_cy_19102598.mp3	May I post a heavy parcel here?	test
common_voice_cy_19102599.mp3	I’m certain she is the right one for me in the long term, you'll see.	test
common_voice_cy_18367135.mp3	I didn’t know whether you were in a hurry or not.	test
common_voice_cy_18370684.mp3	It’s not fair to her or the people either.	test_covost
common_voice_cy_19047573.mp3	She thinks I’m sweet sometimes.	test
common_voice_cy_19047575.mp3	Where do you come from?	test
common_voice_cy_19035510.mp3	It’s painful.	test
common_voice_cy_19035512.mp3	How many black squares will there be in the tenth diagram?	test
common_voice_cy_19054905.mp3	Do any adults in the family work?	test
common_voice_cy_19054906.mp3	Where did you go to school?	test
common_voice_cy_19033396.mp3	But is it a nice day?	test
common_voice_cy_19033397.mp3	I’m a history teacher.	test
common_voice_cy_19075414.mp3	The referee should get new spectacles!	test
common_voice_cy_19075417.mp3	Although the majority were in private home gardens.	test_covost
common_voice_cy_18288715.mp3	Yes, she happens to be here, so I have come back for the conversation.	test_covost
common_voice_cy_18288716.mp3	The floor is very cold.	test_covost
common_voice_cy_19080565.mp3	There will be light showers in the north.	test
common_voice_cy_19080568.mp3	How many children liked different tastes?	test
common_voice_cy_19387805.mp3	Who is wales against this weekend?	test
common_voice_cy_19387817.mp3	He’s smiling from ear to ear.	test
common_voice_cy_19140009.mp3	The incident is not being treated as suspicious.	test
common_voice_cy_19140011.mp3	There are times when all you need to do is be happy.	test
common_voice_cy_19065158.mp3	Go straight ahead.	test
common_voice_cy_19065160.mp3	candles, Bolshevik, roost, Llwyngwair, thyme, serf, projection	test
common_voice_cy_18317489.mp3	Yes, she happens to be here, so I have come back for the conversation.	test_covost
common_voice_cy_18317492.mp3	I ran away without telling her anything about what happened.	test_covost
common_voice_cy_18122144.mp3	I went there and there's quite a bit of everyone's history available.	test
common_voice_cy_18122145.mp3	I didn’t know whether you were in a hurry or not.	test_covost
common_voice_cy_18365773.mp3	Yes, but it depends on you.	test
common_voice_cy_18365774.mp3	She has big news for him and the whole family.	test
common_voice_cy_18257629.mp3	Would you mind speaking slower please?	test
common_voice_cy_18257630.mp3	Officers are now working to identify the body.	test
common_voice_cy_18109682.mp3	I don't know if everyone who speaks Welsh is coming.	test
common_voice_cy_18109683.mp3	May I have my pension money, please?	test
common_voice_cy_19069095.mp3	to you, new, to write, the work, to read, he would, education, came	test
common_voice_cy_19069096.mp3	It will start at eight o’clock.	test
common_voice_cy_19218028.mp3	Although the majority were in private home gardens.	test_covost
common_voice_cy_19218170.mp3	Is it open for the public?	test
common_voice_cy_19053915.mp3	Who is Father Christmas.	test
common_voice_cy_19053919.mp3	He’s very similar to his father.	test
common_voice_cy_19850195.mp3	Here there are many supermarkets and business parks.	test
common_voice_cy_19852278.mp3	We walked purposefully towards Porthmadog, along many slopes.	test
common_voice_cy_19020607.mp3	How can you remember all this and continue to learn more?!	test
common_voice_cy_19020608.mp3	I don’t like it.	test
common_voice_cy_18999203.mp3	It’s five minutes to two.	test
common_voice_cy_18999204.mp3	Gosford Park is my favorite film.	test
common_voice_cy_17783285.mp3	But she was broken into three pieces on the rocks.	test
common_voice_cy_17783289.mp3	Play Welsh language music	test
common_voice_cy_19033753.mp3	This goes from the old harbor to the foot of the castle.	test
common_voice_cy_19033756.mp3	How does this help us understand the incident?	test
common_voice_cy_18322334.mp3	You certainly can't see underwater so you need to keep trying.	test
common_voice_cy_18322338.mp3	You were starting to work on similar work.	test
common_voice_cy_18993173.mp3	What happens when molecules become stressed?	test
common_voice_cy_18993174.mp3	Cheers!	test
common_voice_cy_18324351.mp3	It is necessary to put it all to dry in front of the fire.	test
common_voice_cy_18756151.mp3	She’s always happy.	test
common_voice_cy_19768377.mp3	We came after her family.	test
common_voice_cy_19768378.mp3	It’s not possible to hold it together everywhere.	test
common_voice_cy_18325436.mp3	You were on your way back on that day.	test_covost
common_voice_cy_18325437.mp3	I think I've missed the last chance to call on them now.	test
common_voice_cy_19190740.mp3	So that’s what needs to be done so that she can continue to work.	test_covost
common_voice_cy_19190742.mp3	My sister is too neat!	test
common_voice_cy_19046871.mp3	He’s very similar to his father.	test_covost
common_voice_cy_19046872.mp3	It’s windy.	test
common_voice_cy_17319676.mp3	traveler, burden, in, Huws, afternoon, rhythm, great, round fort	test
common_voice_cy_17319677.mp3	Where’s the welcome center?	test
common_voice_cy_18939901.mp3	I learnt Welsh in school.	test
common_voice_cy_18939902.mp3	How much does a single room cost?	test_covost
common_voice_cy_18574925.mp3	He was just beginning to play well last week so the big question is what will happen next.	test
common_voice_cy_18574928.mp3	Yes, she happens to be here, so I have come back for the conversation.	test_covost
common_voice_cy_18110986.mp3	What are the differences between the different classes?	test
common_voice_cy_18110988.mp3	Welsh, Richard Elfyn, Rhodri Morgan	test
common_voice_cy_19167047.mp3	wife, orange, day, work, in, eisteddfod, discount, to him	test
common_voice_cy_19167049.mp3	It would be fun to see pictures of the village in the sixties.	test
common_voice_cy_19149168.mp3	I'd like to see if it’s possible can remind her of the old pictures.	test
common_voice_cy_19149169.mp3	I am Siôn.	test
common_voice_cy_19149170.mp3	I'm listening to the girls, who are those two with my dad?	test
common_voice_cy_18121751.mp3	No it's fine, nobody except mum noticed it until you came.	test
common_voice_cy_18121752.mp3	My sisters still live and work in London.	test
common_voice_cy_18121753.mp3	How many hours will a child work each day?	test
common_voice_cy_19025604.mp3	What was the First World War?	test
common_voice_cy_19025606.mp3	How are things?	test
common_voice_cy_19025607.mp3	What is biodiversity and how can it be measured?	test
common_voice_cy_17680764.mp3	What shows us that the flower is a living thing?	test
common_voice_cy_17680765.mp3	It’s five minutes past one.	test
common_voice_cy_17680766.mp3	My bags are missing.	test
common_voice_cy_18900869.mp3	I'd like to see if it’s possible can remind her of the old pictures.	test_covost
common_voice_cy_18900870.mp3	The two are old friends ever since they were boys.	test
common_voice_cy_18900871.mp3	Can you remind me what information is needed?	test
common_voice_cy_18889243.mp3	She went straight to stay with him at his home.	test
common_voice_cy_18889245.mp3	What is the measurement of the resource below in blocks?	test
common_voice_cy_18889246.mp3	Speaking!	test
common_voice_cy_19033686.mp3	flower, Paris, bounce, came, Cnicht, Alps, Tywyn, trunks	test
common_voice_cy_19033690.mp3	author, no, was it possible, to come, the old, I have, last, start	test
common_voice_cy_19033694.mp3	I sent you an e-mail today.	test
common_voice_cy_19035260.mp3	You may need to go it alone.	test
common_voice_cy_19035261.mp3	I really want to see that.	test
common_voice_cy_19035262.mp3	I bought two hens and two ducks.	test
common_voice_cy_19094233.mp3	Five pounds fifty, please.	test
common_voice_cy_19094234.mp3	Yes, that's the best piece of the area's history.	test
common_voice_cy_19094235.mp3	Alun Davies said that the standards needed to looked at again when creating a new language law.	test
